[1/11/23, 3:41:34 p. m.] Gen Filtrada: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[1/11/23, 3:41:34 p. m.] Venegas: ‎Venegas creó este grupo.
‎[14/11/23, 2:40:40 p. m.] Venegas: ‎sticker omitido
[14/11/23, 2:40:43 p. m.] Javier Hernández: Una manoseada y se dejó
[14/11/23, 2:40:43 p. m.] Juan Pablo M.: es que se comió bien
[14/11/23, 2:40:44 p. m.] Juan Pablo M.: eh
[14/11/23, 2:40:57 p. m.] Javier Hernández: Ahí está
[14/11/23, 2:40:58 p. m.] Javier Hernández: Jajaja
[14/11/23, 2:41:04 p. m.] Ashley Padilla: Diay si
[14/11/23, 2:41:11 p. m.] Ashley Padilla: Nada que decir al respecto
[14/11/23, 2:41:14 p. m.] Venegas: Celos?
[14/11/23, 2:41:29 p. m.] Venegas: 🤨🤨🤨🤨
[14/11/23, 2:41:40 p. m.] Ashley Padilla: Traición que es peor 😞 habíamos quedado en no ir eh jajajaj
[14/11/23, 2:41:45 p. m.] Ashley Padilla: Yo bien dormida
[14/11/23, 2:43:31 p. m.] Javier Hernández: Que irresponsable
[14/11/23, 2:46:08 p. m.] Venegas: Parece @50687028993 ya
‎[14/11/23, 2:46:24 p. m.] Venegas: ‎sticker omitido
[16/11/23, 8:31:35 a. m.] Venegas: Ya salieron de herramientas?
[16/11/23, 8:31:58 a. m.] Ashley Padilla: Si
[16/11/23, 8:32:32 a. m.] Venegas: Onde andan?
[16/11/23, 8:32:43 a. m.] Venegas: Esque estoy en F1 entonces para irme con ustedes
[16/11/23, 8:32:45 a. m.] Venegas: A f2
[16/11/23, 8:33:43 a. m.] Ashley Padilla: Mentira no se
[16/11/23, 8:33:45 a. m.] Ashley Padilla: Yo no fui
‎[16/11/23, 8:33:59 a. m.] Venegas: ‎sticker omitido
[16/11/23, 8:34:14 a. m.] Sebas: Venga a micro
[16/11/23, 8:34:27 a. m.] Venegas: Es en Aulas?
[16/11/23, 8:34:35 a. m.] Andrés Montero: Si ya salimos
[16/11/23, 8:34:39 a. m.] Sebas: Microbiología mongolo
[16/11/23, 8:34:41 a. m.] Venegas: Oka
[16/11/23, 8:34:48 a. m.] Venegas: Di mamapichas
[16/11/23, 8:34:51 a. m.] Venegas: Habla bien pues
[16/11/23, 8:34:52 a. m.] Venegas: Ya llego
[16/11/23, 8:34:57 a. m.] Sebas: Hp estupido
[16/11/23, 3:01:06 p. m.] Venegas: Suerte en Macro
[16/11/23, 3:01:08 p. m.] Venegas: Nos avisan
[16/11/23, 3:01:14 p. m.] Venegas: Qué viene
[16/11/23, 3:01:18 p. m.] Venegas: Fijo nos viene lo opuesto
[16/11/23, 3:02:11 p. m.] Venegas: Suerte!
@50663600334 @50687028993 @50685670529 @50684441770 @50684091091 @50686093714 @50670768120 @
[16/11/23, 5:41:17 p. m.] Sofía Bocker: Igual🫶
[16/11/23, 7:03:29 p. m.] Venegas: Una pregunta, los precios a ustedes
[16/11/23, 7:03:33 p. m.] Venegas: Les bajaron o subieron?
[16/11/23, 7:03:37 p. m.] Venegas: En el modelo
[16/11/23, 7:03:39 p. m.] Venegas: General
[16/11/23, 7:03:40 p. m.] Venegas: ?
[16/11/23, 7:03:40 p. m.] Javier Hernández: Subían entendí
[16/11/23, 7:03:49 p. m.] Javier Hernández: Me embarcaste 🥲
[16/11/23, 7:03:53 p. m.] Venegas: Es que la respuesta del año pasado dicen que bajan
‎[16/11/23, 7:03:55 p. m.] Venegas: ‎sticker omitido
[16/11/23, 7:04:00 p. m.] Venegas: Pero no está revisado
[16/11/23, 7:04:04 p. m.] Javier Hernández: 😮
[16/11/23, 7:04:05 p. m.] Venegas: Entonces no le creo
‎[16/11/23, 7:04:09 p. m.] Venegas: ‎sticker omitido
[17/11/23, 9:54:07 a. m.] Felix: ‎Alejandro Brenes añadió a Felix.
[17/11/23, 9:54:22 a. m.] ~ Dominick Rodríguez Trejos: ‎Andrés Montero añadió a ~ Dominick Rodríguez Trejos.
[17/11/23, 9:47:55 a. m.] Anthony: Llamen a Dios con esa tarea de 351
[17/11/23, 9:48:10 a. m.] Venegas: Eso mismo iba a decir
[17/11/23, 9:48:28 a. m.] Gerard: Tan fea está?
[17/11/23, 9:53:18 a. m.] Venegas: Yo la vi fea
‎[17/11/23, 10:13:04 a. m.] Javier Hernández: ‎sticker omitido
[19/11/23, 3:10:18 p. m.] Venegas: Oiga @50684091091 Al final sauma
[19/11/23, 3:10:23 p. m.] Venegas: Aquel día le dijo algo más
[19/11/23, 3:10:28 p. m.] Venegas: La papelista esa
[19/11/23, 3:15:21 p. m.] Fabian Brenes: no solo se me cago y ya xd
[19/11/23, 3:15:35 p. m.] Fabian Brenes: mañana veo si me ve con cara de asco xd
[19/11/23, 3:15:38 p. m.] Venegas: Malparida vieja loca
[19/11/23, 3:16:04 p. m.] Venegas: No es como si hubiese hecho diferencia a 3 mintos del quizx
[19/11/23, 3:16:16 p. m.] Venegas: Que mal me cayó rajado
[19/11/23, 3:17:37 p. m.] Venegas: Lo peor es que ya todo el grupo de Slon sabía, no es como que por su culpa eso hubiese pasado
[19/11/23, 3:17:39 p. m.] Venegas: Hpta sal
[19/11/23, 3:17:59 p. m.] Venegas: Vieja incogible/insoportable/invivible
[19/11/23, 3:37:47 p. m.] Luis Fer Amey: Y ud que no la tiene de profe sapa
[19/11/23, 3:38:05 p. m.] Luis Fer Amey: uy si los exámenes
[19/11/23, 3:38:31 p. m.] Venegas: ???
[19/11/23, 3:38:33 p. m.] Venegas: Cómo?
[19/11/23, 3:38:40 p. m.] Luis Fer Amey: Bueno si
[19/11/23, 3:38:42 p. m.] Venegas: Mae supuestamiente la mae da los resultados este lunes
[19/11/23, 3:38:47 p. m.] Venegas: Bueno, al menos del grupo de ella
[19/11/23, 3:38:52 p. m.] Luis Fer Amey: Pero a mi ya me tiene harto sauma en general
[19/11/23, 3:38:56 p. m.] Luis Fer Amey: sisi por eso
[19/11/23, 3:39:03 p. m.] Luis Fer Amey: hay que ver si se nos caga en general
[19/11/23, 3:39:08 p. m.] Venegas: Como tutora es muy buena, la mae si enseñe bien
[19/11/23, 3:39:14 p. m.] Venegas: Pero tiene un tonito pasivo-agresivo
[19/11/23, 3:39:19 p. m.] Venegas: Criticona
[19/11/23, 3:39:26 p. m.] Venegas: y trata a los demás como imbéciles
[19/11/23, 3:39:43 p. m.] Luis Fer Amey: mae mejor no nos pongamos a hablar de eso jajajaj porque aja
[19/11/23, 3:39:47 p. m.] Venegas: Jajaja
[19/11/23, 3:39:49 p. m.] Luis Fer Amey: Yo suelto
[19/11/23, 3:39:52 p. m.] Luis Fer Amey: y no quiero
[19/11/23, 3:39:52 p. m.] Venegas: Hay sapos en el grupo?
[19/11/23, 3:39:58 p. m.] Venegas: Tírele
[19/11/23, 3:40:02 p. m.] Luis Fer Amey: no
[19/11/23, 3:40:08 p. m.] Venegas: Si algo sale, ya sabemos a quiénes quebrar
‎[19/11/23, 3:40:16 p. m.] Venegas: ‎sticker omitido
[19/11/23, 3:40:18 p. m.] Luis Fer Amey: hay un proyecto de interes que hacer
[19/11/23, 3:40:26 p. m.] Venegas: Ya lo tengo hecho
‎[19/11/23, 3:40:28 p. m.] Venegas: ‎sticker omitido
‎[19/11/23, 3:40:30 p. m.] Venegas: ‎sticker omitido
‎[19/11/23, 3:42:34 p. m.] Marco Guardia: ‎imagen omitida
[19/11/23, 3:44:05 p. m.] Venegas: 😂😂😂😂
[20/11/23, 2:43:37 p. m.] Corella: Éxitos en las exposiciones!
[20/11/23, 2:47:33 p. m.] Luis Fer Amey: Gracias
[20/11/23, 7:02:52 p. m.] Andrés Montero: Alguno sabe algo de la clase de teoría de mañana? No han dicho si es virtual o presencial?
‎[20/11/23, 7:03:01 p. m.] Andrés Montero: ‎sticker omitido
[20/11/23, 7:03:24 p. m.] Venegas: Pregunte
[20/11/23, 7:03:27 p. m.] Venegas: El profe me odia
[20/11/23, 7:03:31 p. m.] Venegas: O que pregunte @50685670529
[20/11/23, 7:03:34 p. m.] Ashley Padilla: Jajajajaj
[20/11/23, 7:03:34 p. m.] Venegas: Que q él lo maman
[20/11/23, 7:04:26 p. m.] Andrés Montero: Al chile
[24/11/23, 8:40:30 a. m.] Venegas: No entendí, si sobra tiempo vemos práctica?
[24/11/23, 8:40:31 a. m.] Venegas: XDDD
[24/11/23, 8:48:12 a. m.] Luis Fer Amey: no
[24/11/23, 8:48:16 a. m.] Luis Fer Amey: el profe no quiere hacer
[24/11/23, 8:48:31 a. m.] Luis Fer Amey: es lo que entendí yo
[24/11/23, 8:50:27 a. m.] Venegas: X2
‎[24/11/23, 3:44:50 p. m.] Venegas: ‎imagen omitida
[26/11/23, 2:37:23 p. m.] Corella: Uy gente, solo como recordatorio
Acuérdesen los de herramientas de la tarea forro que es para el 30 
Que eso es algo fácil de olvidar
[26/11/23, 2:38:05 p. m.] Corella: Ah mira, creo que es para el 30 pero para las 00:00 entonces serían para el 29 creo
‎[26/11/23, 6:09:59 p. m.] Venegas: ‎imagen omitida
[26/11/23, 6:10:02 p. m.] Venegas: Que asco JAJAJA
‎[26/11/23, 6:40:22 p. m.] Sofía Bocker: ‎sticker omitido
‎[27/11/23, 3:14:53 p. m.] Adrian: ‎imagen omitida
[27/11/23, 4:37:22 p. m.] Venegas: @50670768120 @50684441770
[27/11/23, 4:37:27 p. m.] Venegas: Se eximieron en Macro
[27/11/23, 4:37:29 p. m.] Venegas: Verdad?
[27/11/23, 4:38:26 p. m.] Venegas: Uuuf y @50684091091
[27/11/23, 4:38:29 p. m.] Venegas: Tambié
[27/11/23, 4:38:34 p. m.] Venegas: Felicidades guapxs
‎[27/11/23, 4:44:07 p. m.] Felix: ‎sticker omitido
‎[27/11/23, 5:07:14 p. m.] Marco Guardia: ‎sticker omitido
[27/11/23, 5:18:27 p. m.] Luis Fer Amey: ya subieron el excel con las notas para que lo revisen si no lo han hecho
[27/11/23, 5:18:39 p. m.] Luis Fer Amey: y felicidades a los 3
[27/11/23, 5:21:02 p. m.] Luis Fer Amey: son el orgullo de todos que sufrimos el curso
[27/11/23, 5:22:43 p. m.] Venegas: Confirmo mucho
[27/11/23, 5:22:43 p. m.] Venegas: Pros
[27/11/23, 5:22:43 p. m.] Venegas: Saicos
‎[27/11/23, 5:22:44 p. m.] Venegas: ‎sticker omitido
[27/11/23, 7:00:30 p. m.] Ashley Padilla: ‎Cambió tu código de seguridad con Ashley Padilla.
‎[27/11/23, 8:10:09 p. m.] Gustavo Amador: ‎imagen omitida
[27/11/23, 8:10:46 p. m.] Gustavo Amador: Promete
[27/11/23, 8:16:37 p. m.] Ashley Padilla: Siiii
[27/11/23, 8:17:37 p. m.] Venegas: S8
[27/11/23, 8:17:40 p. m.] Venegas: Virtual prome más
[27/11/23, 8:18:17 p. m.] Ashley Padilla: Presencial
[27/11/23, 8:18:31 p. m.] Ashley Padilla: Ese día tenemos clases de proba y salimos a las 12
[27/11/23, 8:18:52 p. m.] Venegas: Sí
[27/11/23, 8:18:58 p. m.] Venegas: Mae 10/10 un Ph.d es Actuariales
[27/11/23, 8:19:00 p. m.] Venegas: Que mostros
[27/11/23, 8:19:03 p. m.] Venegas: 🥹🥹🥹🥹
[27/11/23, 8:19:07 p. m.] Venegas: Ojalá llegar a ese level
[27/11/23, 8:31:58 p. m.] Javier Hernández: Una pregunta, para el proyecto de teoría todos hicieron presentación?
[27/11/23, 8:32:24 p. m.] Luis Fer Amey: al menos nuestro grupo si y el de corella también
[27/11/23, 8:32:48 p. m.] Luis Fer Amey: digamos no es necesario si se la juegan con explicar todo en el aire pero di es una presentación
[27/11/23, 8:32:53 p. m.] Javier Hernández: Ok ok, mejor hacer una si
[27/11/23, 8:34:33 p. m.] Luis Fer Amey: igual pueden hacer una breve pero le gana puntos a la visualización
[27/11/23, 9:14:15 p. m.] Venegas: Yo la voy hacer
[27/11/23, 9:14:20 p. m.] Venegas: Siento que es muy feo exponer sin ello
[28/11/23, 5:34:42 a. m.] Venegas: Chiquillos dos cosas
[28/11/23, 5:34:49 a. m.] Venegas: Suerte a los de Micro!!!
[28/11/23, 5:34:53 a. m.] Venegas: Éxitos!
[28/11/23, 5:35:06 a. m.] Venegas: Y segundo, a alguno no le han revisado la tarea?
[28/11/23, 10:20:59 a. m.] Andrés Montero: Hola
[28/11/23, 10:21:07 a. m.] Andrés Montero: Cuantas personas exponen en teoría? Dos por grupo?
‎[28/11/23, 10:21:18 a. m.] Andrés Montero: ‎sticker omitido
[28/11/23, 10:21:28 a. m.] Corella: La vez pasada fuimos todos
[28/11/23, 10:21:44 a. m.] Andrés Montero: Si si, pero por ahí dicen que son 2 por grupo
[28/11/23, 10:21:50 a. m.] Andrés Montero: Pero no c
[28/11/23, 10:21:56 a. m.] Corella: Ah ok ok
[28/11/23, 10:22:03 a. m.] Corella: Ni idea entonces
[28/11/23, 10:22:09 a. m.] Marco Guardia: Es como gusten 
El profe dejó 2 por grupo
‎[28/11/23, 10:22:22 a. m.] Andrés Montero: ‎sticker omitido
[28/11/23, 10:43:54 a. m.] Luis Fer Amey: Es porque di no éramos muchos exponiendo entonces nos dejó muchas cosas pero en teoría son 10 min por grupo y 2 exponiendo creo
[28/11/23, 10:43:59 a. m.] Luis Fer Amey: _creo_
[28/11/23, 10:44:33 a. m.] Marco Guardia: igual no va ser hacer las de maria jose de poner un cronometro
[28/11/23, 10:44:41 a. m.] Luis Fer Amey: Si no
[28/11/23, 10:44:45 a. m.] Luis Fer Amey: El profe todo chill
[28/11/23, 10:44:50 a. m.] Marco Guardia: hacer*
[29/11/23, 1:29:34 a. m.] Sebas: Una consulta, alguien tiene el resultado de la 2 del quiz de 351?
‎[29/11/23, 1:29:37 a. m.] Sebas: ‎sticker omitido
‎[29/11/23, 6:02:55 p. m.] Ashley Padilla: ‎imagen omitida
[30/11/23, 7:46:14 a. m.] Javier Hernández: Éxitos en el examen!! 🫶🏽
‎[30/11/23, 7:46:17 a. m.] Javier Hernández: ‎sticker omitido
[30/11/23, 7:51:49 a. m.] Corella: Muchas gracias pa'
[30/11/23, 7:52:23 a. m.] Venegas: Tuanis
[30/11/23, 8:10:39 a. m.] Ashley Padilla: Gracias Javi 🫶🏻
[1/12/23, 11:57:10 p. m.] Venegas: Cuándo creen que el profe de interés de la nota?
‎[1/12/23, 11:57:12 p. m.] Venegas: ‎sticker omitido
[2/12/23, 12:17:43 a. m.] Marco Guardia: la verdadera pregunta es 
Cuando piensa javier subir las  instrucciones de la bitácora que se entrega mañana 🤔
‎[2/12/23, 12:17:54 a. m.] Venegas: ‎sticker omitido
‎[2/12/23, 12:17:55 a. m.] Venegas: ‎sticker omitido
[2/12/23, 12:32:10 a. m.] Javier Hernández: Las va a dar después del examen porque él sabe que sino no llegamos jaja
[2/12/23, 12:39:10 a. m.] Corella: Jajajaja
[2/12/23, 12:39:22 a. m.] Corella: Verdad que el profe no confirmaba recibido ni nada?
[2/12/23, 12:44:21 a. m.] Javier Hernández: Yo se lo mandé por WhatsApp y me dejó en visto
[2/12/23, 12:44:37 a. m.] Javier Hernández: Entonces me imagino que no
[2/12/23, 12:44:40 a. m.] Corella: Ah bueno, entonces puedo estar tranquilo jajaja
‎[2/12/23, 10:51:33 p. m.] Venegas: ‎Video omitido
‎[2/12/23, 11:39:06 p. m.] Corella: ‎imagen omitida
[2/12/23, 11:40:44 p. m.] Ashley Padilla: Graciaaaas 🫶🏻
[2/12/23, 11:41:01 p. m.] Corella: pura vida!
‎[3/12/23, 11:59:02 a. m.] Venegas: Sede_RodrigoFacio_3-2023.pdf • ‎58 páginas ‎documento omitido
[4/12/23, 1:38:13 p. m.] Corella: Y acuérdesen de la prematricula
[4/12/23, 1:44:50 p. m.] Corella: Que empezó hoy y ni idea cuando termina pero en verano creo que no había muchos días para hacerla
[4/12/23, 1:45:29 p. m.] Venegas: Hasta el miercoles
[4/12/23, 1:45:33 p. m.] Venegas: Hay chance
[4/12/23, 1:45:39 p. m.] Corella: Ah bueno
[4/12/23, 3:25:29 p. m.] Adrian: maes a ustedes les sale proba? a mi no :(
[4/12/23, 3:28:30 p. m.] Gustavo Amador: Tienes que marcar como aprobado Cálculo
[4/12/23, 3:28:41 p. m.] Javier Hernández: Exacto
[5/12/23, 6:54:39 a. m.] Venegas: ‎Cambió tu código de seguridad con Venegas.
[5/12/23, 11:49:09 a. m.] Venegas: Xdddd
‎[5/12/23, 11:49:24 a. m.] Felix: ‎sticker omitido
[5/12/23, 11:49:26 a. m.] Venegas: Nos quitaron el comodín
[5/12/23, 11:49:35 a. m.] Venegas: 😂😂😂😂😂😂😂
[5/12/23, 11:49:44 a. m.] Juan Pablo M.: se enojó Christian 😞
[5/12/23, 11:49:48 a. m.] Corella: Jajajaja
[5/12/23, 11:50:03 a. m.] Venegas: Se emputó
[5/12/23, 11:50:04 a. m.] Corella: Culpa de haber desarrollado proyectos prometedores
[5/12/23, 11:50:05 a. m.] Ashley Padilla: Que fue eso tan random jajajaj
[5/12/23, 11:50:11 a. m.] Venegas: XDDD
[5/12/23, 11:50:13 a. m.] Adrian: what será que se dió cuenta de alguien copiando en el baño?
[5/12/23, 11:50:14 a. m.] Venegas: Modo sauma
[5/12/23, 11:50:19 a. m.] Venegas: Anda el compa
[5/12/23, 11:51:10 a. m.] Javier Hernández: Ni Sauma porque ella se deja salir al inicio
[5/12/23, 11:51:13 a. m.] Javier Hernández: Jajaja
[5/12/23, 12:09:39 p. m.] Gustavo Amador: Esperemos que realmente de las fórmulas
[5/12/23, 12:09:57 p. m.] Gerard: No va a dar nada
[5/12/23, 12:09:59 p. m.] Ashley Padilla: Así como las dió la vez pasada jajaja
‎[5/12/23, 12:10:02 p. m.] Gustavo Amador: ‎sticker omitido
[5/12/23, 12:15:56 p. m.] Adrian: Legal
‎[5/12/23, 7:54:19 p. m.] Ashley Padilla: ‎imagen omitida
[5/12/23, 7:54:48 p. m.] Venegas: Para que vea
[5/12/23, 7:54:55 p. m.] Venegas: Personas responsables
[5/12/23, 7:55:03 p. m.] Venegas: Pd: Al final el profe les movió la bitácora?
[5/12/23, 7:55:11 p. m.] Juan Pablo M.: no
[5/12/23, 7:55:14 p. m.] Ashley Padilla: No, no contesta
[5/12/23, 7:55:18 p. m.] Juan Pablo M.: pero x, no importa lo que él diga al final
[5/12/23, 7:55:19 p. m.] Venegas: Ish, que picha
‎[5/12/23, 7:55:20 p. m.] Juan Pablo M.: ‎sticker omitido
[5/12/23, 7:55:26 p. m.] Venegas: Haganle huelga al hpta
[5/12/23, 7:55:43 p. m.] Ashley Padilla: Juan Pablooooo nuestra bitácora ‎<Se editó este mensaje.>
[5/12/23, 7:56:00 p. m.] Juan Pablo M.: @50686093714
[5/12/23, 7:56:17 p. m.] Venegas: @50686093714
[5/12/23, 7:56:22 p. m.] Venegas: *TOROPUUUUUUUUUUUUUUUU*
[5/12/23, 7:56:25 p. m.] Venegas: Conteste la madre
‎[5/12/23, 8:01:09 p. m.] Anthony: ‎imagen omitida
[5/12/23, 8:01:23 p. m.] Venegas: KJAJKSAJKSAJKSAJKSJKASJKASA
[5/12/23, 8:01:33 p. m.] Venegas: Los pegados
[5/12/23, 8:01:48 p. m.] Venegas: Qué putas está tomando Ashley?
[5/12/23, 8:01:58 p. m.] Ashley Padilla: Fresco
[5/12/23, 8:02:00 p. m.] Juan Pablo M.: un duende de liberación
[5/12/23, 8:02:08 p. m.] Venegas: Semén de Hulk
[5/12/23, 8:02:14 p. m.] Venegas: JAJAJAJAJA
[5/12/23, 8:02:19 p. m.] Venegas: Se lo llegó hacer Figueres
[5/12/23, 8:02:21 p. m.] Venegas: XDDDDDDDDD
[5/12/23, 8:02:30 p. m.] Ashley Padilla: Lit le dije al bartender “duende verde liberación”
[5/12/23, 8:02:46 p. m.] Venegas: No la conozco Dios JAJAJA
[5/12/23, 8:15:05 p. m.] Andrés Montero: Como no conoce los duendes???
‎[5/12/23, 8:15:07 p. m.] Andrés Montero: ‎sticker omitido
[5/12/23, 8:15:33 p. m.] Venegas: Jajajaja mae vieras que no ;(
[5/12/23, 8:15:39 p. m.] Venegas: De hecho ni sé cómo se hacen
[5/12/23, 8:16:22 p. m.] Venegas: Qué lleva?
[5/12/23, 8:18:45 p. m.] Andrés Montero: Mae di
[5/12/23, 8:18:49 p. m.] Andrés Montero: Fresquitos
[5/12/23, 8:19:09 p. m.] Venegas: Jajaja no lleva guaro?
[5/12/23, 8:19:12 p. m.] Venegas: Juraría q
[5/12/23, 8:19:20 p. m.] Venegas: que lleva como Ron, o pacha
[5/12/23, 8:19:23 p. m.] Venegas: o una mierda así
[5/12/23, 8:19:57 p. m.] Juan Pablo M.: mae no, es tang de limón y monster
[5/12/23, 8:20:03 p. m.] Andrés Montero: Jajaja mae si obvio
[5/12/23, 8:20:10 p. m.] Andrés Montero: Según yo es puro mix de waro
[5/12/23, 8:20:10 p. m.] Ashley Padilla: Si exacto
[5/12/23, 8:20:15 p. m.] Ashley Padilla: Con un poco de sal
[5/12/23, 8:20:16 p. m.] Ashley Padilla: Nada más
[5/12/23, 8:20:21 p. m.] Venegas: Que jeta jajajaj
[5/12/23, 8:20:22 p. m.] Venegas: Di si
[5/12/23, 8:20:25 p. m.] Venegas: No suena feo entonces
‎[5/12/23, 8:21:08 p. m.] Ashley Padilla: ‎imagen omitida
[5/12/23, 8:21:49 p. m.] Ashley Padilla: @50684743854
[5/12/23, 8:22:24 p. m.] Venegas: Que bomba el duende aazul
[5/12/23, 8:22:26 p. m.] Venegas: No mame
[5/12/23, 8:22:42 p. m.] Juan Pablo M.: el azul?
‎[5/12/23, 8:22:42 p. m.] Juan Pablo M.: ‎sticker omitido
[5/12/23, 8:22:48 p. m.] Ashley Padilla: El azul es el menor
[5/12/23, 8:22:49 p. m.] Venegas: jAJAJAJA
[5/12/23, 8:22:54 p. m.] Venegas: JAJAJA
[5/12/23, 8:22:55 p. m.] Juan Pablo M.: menor
[5/12/23, 8:22:57 p. m.] Juan Pablo M.: JAJAJAJAJJAJAJA
[5/12/23, 8:22:57 p. m.] Venegas: UUUuuuf
[5/12/23, 8:23:01 p. m.] Venegas: La pura exp hablando
[5/12/23, 8:23:04 p. m.] Venegas: Me sonaba más feo
[5/12/23, 8:23:06 p. m.] Venegas: JAJKAKJSAJKSAJKSKAJSAS
[5/12/23, 8:23:07 p. m.] Venegas: Di si
[5/12/23, 8:23:20 p. m.] Ashley Padilla: Jajajjajaja necios
[5/12/23, 8:54:55 p. m.] Adrian: Gerard programando como los dioses
[6/12/23, 1:31:45 a. m.] Adrian: 👍
[6/12/23, 8:32:13 a. m.] Venegas: Alguien tiene el número de Raúl, que me lo rote porfas, como perdí el cel, perdí muchos números
[6/12/23, 8:32:16 a. m.] Venegas: Plis
[6/12/23, 8:32:34 a. m.] Venegas: Y buenos días a los engomados jajajaja
[6/12/23, 8:43:51 a. m.] Luis Fer Amey: Jajajajaj
[6/12/23, 8:43:56 a. m.] Luis Fer Amey: No lo tengo
[6/12/23, 12:09:22 p. m.] Venegas: Acuérdense que hasta hoy hay tiempo de prematriculart
[6/12/23, 12:09:23 p. m.] Venegas: Por aquello
[6/12/23, 2:07:33 p. m.] ‪+506 8968 3966‬: ‎Ashley Padilla añadió a ‪+506 8968 3966‬.
[6/12/23, 3:41:20 p. m.] Sebas: Hola! Una consulta alguien tiene el primer examen y quiz de cálculo?
[6/12/23, 3:56:53 p. m.] Venegas: Mae si, pero no estoy mi casa ;(
‎[6/12/23, 10:42:31 p. m.] Venegas: ‎imagen omitida
[6/12/23, 11:07:41 p. m.] Venegas: No estoy segura si es de la misma edición pero yo había encontrado este solucionario
[6/12/23, 11:07:41 p. m.] Venegas: https://ia904606.us.archive.org/32/items/solving-probability/Solving%20Probability.pdf
‎[7/12/23, 9:48:23 a. m.] Corella: ‎imagen omitida
[7/12/23, 11:01:56 a. m.] Venegas: Alguien me puede rotar el kellison, plis
[7/12/23, 11:03:11 a. m.] Venegas: Gracias bro
‎[7/12/23, 11:15:24 a. m.] Andrés Montero: ‎sticker omitido
[7/12/23, 6:46:22 p. m.] ~ Heizel Obando Leiva: ‎Cambió tu código de seguridad con ‪+506 8982 2719‬.
‎[8/12/23, 5:43:00 p. m.] Venegas: Dickson - Contingencias de Vida.pdf • ‎513 páginas ‎documento omitido
‎[8/12/23, 5:43:35 p. m.] Venegas: Introducción a la Proba.pdf • ‎132 páginas ‎documento omitido
‎[8/12/23, 5:43:36 p. m.] Venegas: Probabilidad Básica.pdf • ‎242 páginas ‎documento omitido
‎[8/12/23, 5:43:36 p. m.] Venegas: Teoría de la Medida y de la Probabilidad.pdf • ‎199 páginas ‎documento omitido
[8/12/23, 5:44:44 p. m.] Venegas: Ahí les roto esos pdf de Proba, por si los quieren ir viendo, son de U de otros países, pero están destinados a estudiantes de Actuariado, por si quieren leer de algún lugar extra.
Pd: Se los pasé a Raúl, para que me dé una opinión de ellos, luego les digo qué dijo él.
